ba,trailing_mw,baseline_mw,growth_pct,trailing_hours,baseline_hours,baseline_years
AZPS,4680.003767123288,3981.308637747336,17.549383706440814,8760,26280,3
ERCO,56736.77294520548,52041.46944444444,9.022234673395202,8760,26280,3
BPAT,7160.543493150685,6731.8879688519255,6.367537996504469,8760,26280,3
TEPC,1699.877511415525,1604.5383154701506,5.941846014280983,8760,26232,3
SWPP,34754.36746575342,32909.62370996507,5.605484195280441,8760,26280,3
PJM,97429.52351598174,92424.94708191184,5.41474633427117,8760,26279,3
NEVP,4797.654223744292,4555.267541856926,5.321019669210436,8760,26280,3
SRP,4182.853767123288,3972.3212217651817,5.299987931604178,8760,26280,3
EPE,1073.2865296803652,1036.6647579232701,3.5326532977216996,8760,26280,3
MISO,76448.93664383562,73845.0874042434,3.5260967670580623,8760,26280,3
PACE,6097.899771689497,5953.81898782344,2.4199725278972517,8760,26280,3
SOCO,27462.84497716895,26857.323477929986,2.254586164315864,8760,26280,3
DUK,12537.101609772804,12267.9648782344,2.1938172648008125,8759,26280,3
ISNE,13280.670890410958,13026.73516935962,1.9493427766047233,8760,26280,3
TVA,19431.97226027397,19072.249048706242,1.8861079815446935,8760,26280,3
GCPD,758.3106164383562,744.8721856779449,1.804125730400341,8760,26280,3
IPCO,2177.737671232877,2140.45898021309,1.7416213702014405,8760,26280,3
SCEG,2844.3937514626728,2797.4255635276727,1.6789790065323995,8546,26236,3
PNM,1692.8922374429224,1670.0990106544903,1.3647829645440979,8760,26280,3
NYIS,17176.5200913242,17141.520662100458,0.20417925523448233,8760,26280,3
PACW,2370.290296803653,2395.656621004566,-1.0588464130671826,8760,26280,3
