fips,name,population,median_hh_income,vintage_year
01001,"Autauga County, Alabama",59947,72481,2024
01003,"Baldwin County, Alabama",246989,78775,2024
01005,"Barbour County, Alabama",24643,46042,2024
01007,"Bibb County, Alabama",22130,52541,2024
01009,"Blount County, Alabama",59518,64190,2024
01011,"Bullock County, Alabama",10058,31310,2024
01013,"Butler County, Alabama",18630,44755,2024
01015,"Calhoun County, Alabama",116090,55029,2024
01017,"Chambers County, Alabama",34192,49656,2024
01019,"Cherokee County, Alabama",25443,53863,2024
01021,"Chilton County, Alabama",45992,65603,2024
01023,"Choctaw County, Alabama",12380,47813,2024
01025,"Clarke County, Alabama",22543,49249,2024
01027,"Clay County, Alabama",14192,55250,2024
01029,"Cleburne County, Alabama",15426,55345,2024
01031,"Coffee County, Alabama",54920,68353,2024
01033,"Colbert County, Alabama",58022,60628,2024
01035,"Conecuh County, Alabama",11275,41327,2024
01037,"Coosa County, Alabama",10300,57355,2024
01039,"Covington County, Alabama",37628,52456,2024
01041,"Crenshaw County, Alabama",13122,48560,2024
01043,"Cullman County, Alabama",90566,62656,2024
01045,"Dale County, Alabama",49599,54963,2024
01047,"Dallas County, Alabama",36858,35627,2024
01049,"DeKalb County, Alabama",72269,51204,2024
01051,"Elmore County, Alabama",89526,78243,2024
01053,"Escambia County, Alabama",36629,48225,2024
01055,"Etowah County, Alabama",103105,54563,2024
01057,"Fayette County, Alabama",16053,49488,2024
01059,"Franklin County, Alabama",31966,53338,2024
01061,"Geneva County, Alabama",26887,52771,2024
01063,"Greene County, Alabama",7424,29200,2024
01065,"Hale County, Alabama",14829,39250,2024
01067,"Henry County, Alabama",17647,59931,2024
01069,"Houston County, Alabama",108140,58626,2024
01071,"Jackson County, Alabama",53053,51908,2024
01073,"Jefferson County, Alabama",667755,66388,2024
01075,"Lamar County, Alabama",13693,50000,2024
01077,"Lauderdale County, Alabama",95830,62649,2024
01079,"Lawrence County, Alabama",33276,66071,2024
01081,"Lee County, Alabama",181134,65824,2024
01083,"Limestone County, Alabama",111233,83629,2024
01085,"Lowndes County, Alabama",9833,37052,2024
01087,"Macon County, Alabama",18691,43707,2024
01089,"Madison County, Alabama",405718,86499,2024
01091,"Marengo County, Alabama",18851,43825,2024
01093,"Marion County, Alabama",29184,50088,2024
01095,"Marshall County, Alabama",99748,62571,2024
