fips,name,tax_baseline,tax_current,growth_pct,baseline_start_year,baseline_end_year,current_year
01001,"Autauga County, Alabama",528.67,627,18.6003,2021,2023,2024
01003,"Baldwin County, Alabama",798.33,960,20.2505,2021,2023,2024
01005,"Barbour County, Alabama",383.67,462,20.417,2021,2023,2024
01007,"Bibb County, Alabama",273.33,298,9.0244,2021,2023,2024
01009,"Blount County, Alabama",462.67,523,13.0403,2021,2023,2024
01011,"Bullock County, Alabama",348.33,332,-4.689,2021,2023,2024
01013,"Butler County, Alabama",318.33,362,13.7173,2021,2023,2024
01015,"Calhoun County, Alabama",587.0,653,11.2436,2021,2023,2024
01017,"Chambers County, Alabama",462.33,523,13.1218,2021,2023,2024
01019,"Cherokee County, Alabama",595.33,688,15.5655,2021,2023,2024
01021,"Chilton County, Alabama",455.33,537,17.9356,2021,2023,2024
01023,"Choctaw County, Alabama",206.67,207,0.1613,2021,2023,2024
01025,"Clarke County, Alabama",371.33,396,6.6427,2021,2023,2024
01027,"Clay County, Alabama",325.33,331,1.7418,2021,2023,2024
01029,"Cleburne County, Alabama",398.67,486,21.9064,2021,2023,2024
01031,"Coffee County, Alabama",593.33,677,14.1011,2021,2023,2024
01033,"Colbert County, Alabama",568.67,678,19.2263,2021,2023,2024
01035,"Conecuh County, Alabama",296.0,331,11.8243,2021,2023,2024
01037,"Coosa County, Alabama",280.0,315,12.5,2021,2023,2024
01039,"Covington County, Alabama",334.0,397,18.8623,2021,2023,2024
01041,"Crenshaw County, Alabama",323.0,369,14.2415,2021,2023,2024
01043,"Cullman County, Alabama",410.67,516,25.6494,2021,2023,2024
01045,"Dale County, Alabama",405.0,457,12.8395,2021,2023,2024
01047,"Dallas County, Alabama",382.33,392,2.5283,2021,2023,2024
01049,"DeKalb County, Alabama",435.0,496,14.023,2021,2023,2024
01051,"Elmore County, Alabama",536.67,610,13.6646,2021,2023,2024
01053,"Escambia County, Alabama",457.0,530,15.9737,2021,2023,2024
01055,"Etowah County, Alabama",557.33,645,15.7297,2021,2023,2024
01057,"Fayette County, Alabama",326.33,355,8.7845,2021,2023,2024
01059,"Franklin County, Alabama",401.0,433,7.98,2021,2023,2024
01061,"Geneva County, Alabama",366.33,447,22.02,2021,2023,2024
01063,"Greene County, Alabama",343.67,444,29.195,2021,2023,2024
01065,"Hale County, Alabama",369.0,406,10.0271,2021,2023,2024
01067,"Henry County, Alabama",473.33,553,16.831,2021,2023,2024
01069,"Houston County, Alabama",511.0,562,9.9804,2021,2023,2024
01071,"Jackson County, Alabama",425.67,480,12.7643,2021,2023,2024
01073,"Jefferson County, Alabama",1257.0,1409,12.0923,2021,2023,2024
01075,"Lamar County, Alabama",245.0,274,11.8367,2021,2023,2024
01077,"Lauderdale County, Alabama",678.33,757,11.5971,2021,2023,2024
01079,"Lawrence County, Alabama",442.67,497,12.2741,2021,2023,2024
01081,"Lee County, Alabama",1087.0,1252,15.1794,2021,2023,2024
01083,"Limestone County, Alabama",723.33,900,24.424,2021,2023,2024
01085,"Lowndes County, Alabama",312.0,337,8.0128,2021,2023,2024
01087,"Macon County, Alabama",428.67,509,18.7403,2021,2023,2024
01089,"Madison County, Alabama",992.0,1185,19.4556,2021,2023,2024
01091,"Marengo County, Alabama",387.0,409,5.6848,2021,2023,2024
01093,"Marion County, Alabama",294.33,301,2.265,2021,2023,2024
01095,"Marshall County, Alabama",646.33,733,13.409,2021,2023,2024
01097,"Mobile County, Alabama",820.33,888,8.2487,2021,2023,2024
01099,"Monroe County, Alabama",342.0,381,11.4035,2021,2023,2024
01101,"Montgomery County, Alabama",567.0,702,23.8095,2021,2023,2024
01103,"Morgan County, Alabama",630.67,718,13.8478,2021,2023,2024
01105,"Perry County, Alabama",306.0,281,-8.1699,2021,2023,2024
01107,"Pickens County, Alabama",351.67,364,3.5071,2021,2023,2024
01109,"Pike County, Alabama",406.67,424,4.2623,2021,2023,2024
01111,"Randolph County, Alabama",406.33,452,11.2387,2021,2023,2024
01113,"Russell County, Alabama",614.33,629,2.3874,2021,2023,2024
01115,"St. Clair County, Alabama",604.33,724,19.8014,2021,2023,2024
01117,"Shelby County, Alabama",1263.0,1423,12.6683,2021,2023,2024
01119,"Sumter County, Alabama",274.67,359,30.7039,2021,2023,2024
01121,"Talladega County, Alabama",486.67,544,11.7808,2021,2023,2024
01123,"Tallapoosa County, Alabama",419.0,481,14.7971,2021,2023,2024
01125,"Tuscaloosa County, Alabama",713.67,795,11.3965,2021,2023,2024
01127,"Walker County, Alabama",334.0,356,6.5868,2021,2023,2024
01129,"Washington County, Alabama",328.0,365,11.2805,2021,2023,2024
01131,"Wilcox County, Alabama",284.67,319,12.0609,2021,2023,2024
01133,"Winston County, Alabama",346.67,380,9.6154,2021,2023,2024
02016,"Aleutians West Census Area, Alaska",2980.67,3090,3.6681,2021,2023,2024
02020,"Anchorage Municipality, Alaska",4677.33,4982,6.5137,2021,2023,2024
02060,"Bristol Bay Borough, Alaska",2215.67,2045,-7.7027,2021,2023,2024
02063,"Chugach Census Area, Alaska",2916.67,3379,15.8514,2021,2023,2024
02070,"Dillingham Census Area, Alaska",2492.67,2738,9.8422,2021,2023,2024
02090,"Fairbanks North Star Borough, Alaska",3424.67,3550,3.6597,2021,2023,2024
02100,"Haines Borough, Alaska",2565.0,2445,-4.6784,2021,2023,2024
02105,"Hoonah-Angoon Census Area, Alaska",1340.0,1136,-15.2239,2021,2023,2024
02110,"Juneau City and Borough, Alaska",3812.67,4251,11.4968,2021,2023,2024
02122,"Kenai Peninsula Borough, Alaska",1862.0,2049,10.043,2021,2023,2024
02130,"Ketchikan Gateway Borough, Alaska",2569.0,2619,1.9463,2021,2023,2024
02150,"Kodiak Island Borough, Alaska",3546.33,3569,0.6392,2021,2023,2024
02158,"Kusilvak Census Area, Alaska",199.0,199,0.0,2021,2023,2024
02170,"Matanuska-Susitna Borough, Alaska",3371.67,3685,9.2931,2021,2023,2024
02180,"Nome Census Area, Alaska",2689.0,3264,21.3834,2021,2023,2024
02185,"North Slope Borough, Alaska",1698.0,2305,35.7479,2021,2023,2024
02188,"Northwest Arctic Borough, Alaska",199.0,199,0.0,2021,2023,2024
02195,"Petersburg Borough, Alaska",1936.0,1896,-2.0661,2021,2023,2024
02198,"Prince of Wales-Hyder Census Area, Alaska",972.67,1139,17.1008,2021,2023,2024
02220,"Sitka City and Borough, Alaska",2064.33,2080,0.7589,2021,2023,2024
02230,"Skagway Municipality, Alaska",1439.33,1634,13.5248,2021,2023,2024
02240,"Southeast Fairbanks Census Area, Alaska",1827.67,3350,83.2938,2021,2023,2024
02275,"Wrangell City and Borough, Alaska",1660.67,1673,0.7427,2021,2023,2024
02282,"Yakutat City and Borough, Alaska",1289.67,1463,13.4402,2021,2023,2024
02290,"Yukon-Koyukuk Census Area, Alaska",785.67,1109,41.154,2021,2023,2024
04001,"Apache County, Arizona",539.33,572,6.0569,2021,2023,2024
04003,"Cochise County, Arizona",1300.0,1310,0.7692,2021,2023,2024
04005,"Coconino County, Arizona",1892.67,2051,8.3656,2021,2023,2024
04007,"Gila County, Arizona",1337.0,1386,3.6649,2021,2023,2024
04009,"Graham County, Arizona",1048.67,1013,-3.4011,2021,2023,2024
04011,"Greenlee County, Arizona",407.67,518,27.0646,2021,2023,2024
