fips,name,state,price_current,price_baseline,growth_pct,period_current,baseline_periods,homes_sold_current_3mo,homes_sold_baseline_3mo
01001,Autauga County,AL,290340,261504,11.03,2026-03-31,2025-03-28|2024-03-28|2023-03-28,162,437
01003,Baldwin County,AL,381793,378547,0.86,2026-03-31,2025-03-28|2024-03-28|2023-03-28,1557,4116
01009,Blount County,AL,253222,235782,7.4,2026-03-31,2025-03-28|2024-03-28|2023-03-28,108,316
01015,Calhoun County,AL,197441,172939,14.17,2026-03-31,2025-03-28|2024-03-28|2023-03-28,225,747
01017,Chambers County,AL,198587,174895,13.55,2026-03-31,2025-03-28|2024-03-28|2023-03-28,60,179
01019,Cherokee County,AL,307041,235291,30.49,2026-03-31,2025-03-28|2024-03-28|2023-03-28,49,128
01021,Chilton County,AL,246544,242544,1.65,2026-03-31,2025-03-28|2024-03-28|2023-03-28,79,239
01031,Coffee County,AL,266916,220470,21.07,2026-03-31,2025-03-28|2024-03-28|2023-03-28,171,443
01033,Colbert County,AL,222038,209728,5.87,2026-03-31,2025-03-28|2024-03-28|2023-03-28,141,389
01039,Covington County,AL,193900,159168,21.82,2026-03-31,2025-03-28|2024-03-28|2023-03-28,75,168
01043,Cullman County,AL,256613,244677,4.88,2026-03-31,2025-03-28|2024-03-28|2023-03-28,222,696
01045,Dale County,AL,207562,190349,9.04,2026-03-31,2025-03-28|2024-03-28|2023-03-28,97,294
01047,Dallas County,AL,186355,106226,75.43,2026-03-31,2025-03-28|2024-03-28|2023-03-28,31,104
01049,DeKalb County,AL,234674,226737,3.5,2026-03-31,2025-03-28|2024-03-28|2023-03-28,127,338
01051,Elmore County,AL,301092,270700,11.23,2026-03-31,2025-03-28|2024-03-28|2023-03-28,274,642
01053,Escambia County,AL,187920,177698,5.75,2026-03-31,2025-03-28|2024-03-28|2023-03-28,50,158
01055,Etowah County,AL,230673,187781,22.84,2026-03-31,2025-03-28|2024-03-28|2023-03-28,208,650
01061,Geneva County,AL,227443,182807,24.42,2026-03-31,2025-03-28|2024-03-28|2023-03-28,42,119
01067,Henry County,AL,293575,243340,20.64,2026-03-31,2025-03-28|2024-03-28|2023-03-28,32,109
01069,Houston County,AL,248996,223461,11.43,2026-03-31,2025-03-28|2024-03-28|2023-03-28,256,903
01071,Jackson County,AL,263071,207776,26.61,2026-03-31,2025-03-28|2024-03-28|2023-03-28,90,210
01073,Jefferson County,AL,284513,252247,12.79,2026-03-31,2025-03-28|2024-03-28|2023-03-28,1790,5659
01077,Lauderdale County,AL,266018,230374,15.47,2026-03-31,2025-03-28|2024-03-28|2023-03-28,227,597
01079,Lawrence County,AL,198424,205561,-3.47,2026-03-31,2025-03-28|2024-03-28|2023-03-28,46,121
01081,Lee County,AL,362661,336402,7.81,2026-03-31,2025-03-28|2024-03-28|2023-03-28,571,1759
01083,Limestone County,AL,330740,314052,5.31,2026-03-31,2025-03-28|2024-03-28|2023-03-28,550,1397
01089,Madison County,AL,323084,322906,0.06,2026-03-31,2025-03-28|2024-03-28|2023-03-28,1455,4428
01095,Marshall County,AL,260701,246602,5.72,2026-03-31,2025-03-28|2024-03-28|2023-03-28,195,598
01097,Mobile County,AL,237412,217160,9.33,2026-03-31,2025-03-28|2024-03-28|2023-03-28,1045,2957
01101,Montgomery County,AL,214801,191773,12.01,2026-03-31,2025-03-28|2024-03-28|2023-03-28,508,1810
01103,Morgan County,AL,242404,245318,-1.19,2026-03-31,2025-03-28|2024-03-28|2023-03-28,324,838
01115,St. Clair County,AL,292622,271417,7.81,2026-03-31,2025-03-28|2024-03-28|2023-03-28,298,835
01117,Shelby County,AL,347812,333698,4.23,2026-03-31,2025-03-28|2024-03-28|2023-03-28,810,2348
01121,Talladega County,AL,196003,201174,-2.57,2026-03-31,2025-03-28|2024-03-28|2023-03-28,159,429
01123,Tallapoosa County,AL,478659,416533,14.92,2026-03-31,2025-03-28|2024-03-28|2023-03-28,91,296
01125,Tuscaloosa County,AL,283443,262412,8.01,2026-03-31,2025-03-28|2024-03-28|2023-03-28,636,1816
01127,Walker County,AL,203073,214275,-5.23,2026-03-31,2025-03-28|2024-03-28|2023-03-28,109,306
01133,Winston County,AL,328617,297570,10.43,2026-03-31,2025-03-28|2024-03-28|2023-03-28,48,126
02020,Anchorage Borough,AK,419531,374375,12.06,2026-03-31,2025-03-28|2024-03-28|2023-03-28,565,1705
02090,Fairbanks North Star Borough,AK,329625,314788,4.71,2026-03-31,2025-03-28|2024-03-28|2023-03-28,155,550
02122,Kenai Peninsula Borough,AK,377117,350350,7.64,2026-03-31,2025-03-28|2024-03-28|2023-03-28,134,352
02170,Matanuska-Susitna Borough,AK,423246,387049,9.35,2026-03-31,2025-03-28|2024-03-28|2023-03-28,285,954
04003,Cochise County,AZ,282690,269383,4.94,2026-03-31,2025-03-28|2024-03-28|2023-03-28,342,946
04005,Coconino County,AZ,667238,658039,1.4,2026-03-31,2025-03-28|2024-03-28|2023-03-28,286,809
04007,Gila County,AZ,472303,413876,14.12,2026-03-31,2025-03-28|2024-03-28|2023-03-28,159,417
04013,Maricopa County,AZ,484425,469642,3.15,2026-03-31,2025-03-28|2024-03-28|2023-03-28,14463,41509
04015,Mohave County,AZ,356038,353784,0.64,2026-03-31,2025-03-28|2024-03-28|2023-03-28,998,2708
04017,Navajo County,AZ,411047,397614,3.38,2026-03-31,2025-03-28|2024-03-28|2023-03-28,209,623
04019,Pima County,AZ,367296,361995,1.46,2026-03-31,2025-03-28|2024-03-28|2023-03-28,3279,9794
04021,Pinal County,AZ,384911,373472,3.06,2026-03-31,2025-03-28|2024-03-28|2023-03-28,2355,6661
04023,Santa Cruz County,AZ,289696,299245,-3.19,2026-03-31,2025-03-28|2024-03-28|2023-03-28,125,350
04025,Yavapai County,AZ,500882,524137,-4.44,2026-03-31,2025-03-28|2024-03-28|2023-03-28,1088,2559
04027,Yuma County,AZ,301509,287421,4.9,2026-03-31,2025-03-28|2024-03-28|2023-03-28,461,1403
05005,Baxter County,AR,235198,228630,2.87,2026-03-31,2025-03-28|2024-03-28|2023-03-28,125,442
05007,Benton County,AR,378693,362923,4.35,2026-03-31,2025-03-28|2024-03-28|2023-03-28,1493,3999
05009,Boone County,AR,210232,195768,7.39,2026-03-31,2025-03-28|2024-03-28|2023-03-28,95,273
05015,Carroll County,AR,319638,266004,20.16,2026-03-31,2025-03-28|2024-03-28|2023-03-28,72,209
05021,Clay County,AR,113016,97314,16.14,2026-03-31,2025-03-28|2024-03-28|2023-03-28,32,114
05023,Cleburne County,AR,284250,250200,13.61,2026-03-31,2025-03-28|2024-03-28|2023-03-28,80,239
05031,Craighead County,AR,211882,208752,1.5,2026-03-31,2025-03-28|2024-03-28|2023-03-28,328,1003
05033,Crawford County,AR,236478,210512,12.33,2026-03-31,2025-03-28|2024-03-28|2023-03-28,162,429
05035,Crittenden County,AR,207421,198455,4.52,2026-03-31,2025-03-28|2024-03-28|2023-03-28,97,297
05045,Faulkner County,AR,252368,240606,4.89,2026-03-31,2025-03-28|2024-03-28|2023-03-28,386,999
05051,Garland County,AR,238506,245099,-2.69,2026-03-31,2025-03-28|2024-03-28|2023-03-28,358,992
05053,Grant County,AR,208021,211585,-1.68,2026-03-31,2025-03-28|2024-03-28|2023-03-28,48,137
05055,Greene County,AR,196367,169345,15.96,2026-03-31,2025-03-28|2024-03-28|2023-03-28,111,339
05059,Hot Spring County,AR,174578,169468,3.02,2026-03-31,2025-03-28|2024-03-28|2023-03-28,58,162
