fips,name,state,tavg_current,tavg_baseline,delta_f,anomaly_current,current_period,baseline_periods
01001,Autauga County,Alabama,67.3,65.7,1.6,3.7,202604,202304|202404|202504
01003,Baldwin County,Alabama,69.3,68.57,0.73,2.9,202604,202304|202404|202504
01005,Barbour County,Alabama,67.2,66.03,1.17,2.7,202604,202304|202404|202504
01007,Bibb County,Alabama,67,64.37,2.63,4.5,202604,202304|202404|202504
01009,Blount County,Alabama,65.2,62.67,2.53,4.9,202604,202304|202404|202504
01011,Bullock County,Alabama,66.6,65.6,1.0,2.8,202604,202304|202404|202504
01013,Butler County,Alabama,66.7,66.13,0.57,2.3,202604,202304|202404|202504
01015,Calhoun County,Alabama,65.3,62.87,2.43,4.6,202604,202304|202404|202504
01017,Chambers County,Alabama,65.8,63.57,2.23,4.5,202604,202304|202404|202504
01019,Cherokee County,Alabama,64.9,62.17,2.73,4.5,202604,202304|202404|202504
01021,Chilton County,Alabama,66.8,64.2,2.6,4.4,202604,202304|202404|202504
01023,Choctaw County,Alabama,67.9,66.07,1.83,3.5,202604,202304|202404|202504
01025,Clarke County,Alabama,68,66.53,1.47,3.3,202604,202304|202404|202504
01027,Clay County,Alabama,64.9,62.6,2.3,4.3,202604,202304|202404|202504
01029,Cleburne County,Alabama,64.7,62.27,2.43,5,202604,202304|202404|202504
01031,Coffee County,Alabama,66.9,67.03,-0.13,1.8,202604,202304|202404|202504
01033,Colbert County,Alabama,65.9,62.27,3.63,6.1,202604,202304|202404|202504
01035,Conecuh County,Alabama,67.5,66.63,0.87,2.4,202604,202304|202404|202504
01037,Coosa County,Alabama,66,63.8,2.2,4,202604,202304|202404|202504
01039,Covington County,Alabama,67.3,66.87,0.43,2,202604,202304|202404|202504
01041,Crenshaw County,Alabama,66.2,66.1,0.1,1.9,202604,202304|202404|202504
01043,Cullman County,Alabama,65.3,62.4,2.9,5.2,202604,202304|202404|202504
01045,Dale County,Alabama,67.4,67.17,0.23,2,202604,202304|202404|202504
01047,Dallas County,Alabama,67.8,66.17,1.63,3.8,202604,202304|202404|202504
01049,DeKalb County,Alabama,64,60.83,3.17,4.8,202604,202304|202404|202504
01051,Elmore County,Alabama,66.8,65.2,1.6,3.5,202604,202304|202404|202504
01053,Escambia County,Alabama,68.1,67.1,1.0,2.4,202604,202304|202404|202504
01055,Etowah County,Alabama,65.2,62.47,2.73,4.6,202604,202304|202404|202504
01057,Fayette County,Alabama,65.9,63.5,2.4,4.2,202604,202304|202404|202504
01059,Franklin County,Alabama,65,62.0,3.0,5.2,202604,202304|202404|202504
01061,Geneva County,Alabama,67.6,67.4,0.2,1.7,202604,202304|202404|202504
01063,Greene County,Alabama,67.8,65.37,2.43,4.2,202604,202304|202404|202504
01065,Hale County,Alabama,68,65.47,2.53,4.6,202604,202304|202404|202504
01067,Henry County,Alabama,67.9,67.03,0.87,2.5,202604,202304|202404|202504
01069,Houston County,Alabama,68.3,68.03,0.27,2,202604,202304|202404|202504
01071,Jackson County,Alabama,64.5,61.43,3.07,5.1,202604,202304|202404|202504
01073,Jefferson County,Alabama,66.6,63.83,2.77,5.1,202604,202304|202404|202504
01075,Lamar County,Alabama,66.1,63.87,2.23,4.3,202604,202304|202404|202504
01077,Lauderdale County,Alabama,65.7,61.7,4.0,6.2,202604,202304|202404|202504
01079,Lawrence County,Alabama,65.4,61.67,3.73,5.5,202604,202304|202404|202504
01081,Lee County,Alabama,66.7,64.77,1.93,4.3,202604,202304|202404|202504
01083,Limestone County,Alabama,65.4,61.73,3.67,5.6,202604,202304|202404|202504
01085,Lowndes County,Alabama,67.3,66.4,0.9,2.9,202604,202304|202404|202504
01087,Macon County,Alabama,67,65.53,1.47,3.5,202604,202304|202404|202504
01089,Madison County,Alabama,65,61.93,3.07,5.2,202604,202304|202404|202504
01091,Marengo County,Alabama,68.3,66.1,2.2,4.2,202604,202304|202404|202504
01093,Marion County,Alabama,64.8,62.37,2.43,4.3,202604,202304|202404|202504
01095,Marshall County,Alabama,65.1,62.27,2.83,5,202604,202304|202404|202504
01097,Mobile County,Alabama,69.5,68.67,0.83,3.3,202604,202304|202404|202504
01099,Monroe County,Alabama,67.8,66.7,1.1,2.9,202604,202304|202404|202504
01101,Montgomery County,Alabama,66.7,65.9,0.8,2.6,202604,202304|202404|202504
01103,Morgan County,Alabama,65.4,62.23,3.17,5.3,202604,202304|202404|202504
01105,Perry County,Alabama,67.6,65.33,2.27,4.3,202604,202304|202404|202504
01107,Pickens County,Alabama,67,64.83,2.17,4.2,202604,202304|202404|202504
01109,Pike County,Alabama,66.3,66.37,-0.07,1.9,202604,202304|202404|202504
01111,Randolph County,Alabama,65.2,62.87,2.33,5,202604,202304|202404|202504
01113,Russell County,Alabama,67.3,65.73,1.57,3.6,202604,202304|202404|202504
